Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
WAC,WW domain containing adaptor with coiled-coil,51322,"RP11-48B24.1, BM-016, PRO1741, Wwp4",10,10p12.1,Q9BTA9,615049,"Acts as a linker between gene transcription and histone H2B monoubiquitination at 'Lys-120' (H2BK120ub1). Interacts with the RNA polymerase II transcriptional machinery via its WW domain and with RNF20-RNF40 via its coiled coil region, thereby linking and regulating H2BK120ub1 and gene transcription. Regulates the cell-cycle checkpoint activation in response to DNA damage. Positive regulator of amino acid starvation-induced autophagy. May negatively regulate the ubiquitin proteasome pathway.",Syndromic,"Two de novo loss-of-function variants in the WAC gene have been identified in ASD probands from the Simons Simplex Collection (refs). A third de novo loss-of-function variant in this gene was identified in an ASD proband in Tammimies et al., 2015.",19,0,,0,,25363768,,"26264232,26401017,26757981","21522184,22258158,25356899,25533962,26325558,26402605,27824329,27841880,28191889,28263302,29158550,29663678,29928181,30564305,31981491"
WASF1,WAS protein family member 1,8936,"SCAR1, WAVE, WAVE1",6,6q21,Q92558,605035,"The protein encoded by this gene, a member of the Wiskott-Aldrich syndrome protein (WASP)-family, plays a critical role downstream of Rac, a Rho-family small GTPase, in regulating the actin cytoskeleton required for membrane ruffling. It has been shown to associate with an actin nucleation core Arp2/3 complex while enhancing actin polymerization in vitro. Wiskott-Aldrich syndrome is a disease of the immune system, likely due to defects in regulation of actin cytoskeleton.",Syndromic,"Ito et al., 2018 identified five unrelated individuals with de novo truncating variants in the WASF1 gene, all of whom presented with intellectual disability, autistic features, and seizures.",1,0,,0,,29961568,,,
WDFY3,WD repeat and FYVE domain containing 3,23001,"ALFY, ZFYVE25",4,4q21.23,Q8IZQ1,,"This gene encodes a phosphatidylinositol 3-phosphate-binding protein that functions as a master conductor for aggregate clearance by autophagy. This protein shuttles from the nuclear membrane to colocalize with aggregated proteins, where it complexes with other autophagic components to achieve macroautophagy-mediated clearance of these aggregated proteins. However, it is not necessary for starvation-induced macroautophagy.",Rare Single Gene variant,"A de novo nonsense variant in the WDFY3 gene was identified in a male ASD proband from the Simons Simplex Collection (Iossifov et al., 2012). Mice carrying deleterious alleles of the Wdfy3 gene exhibit a regionally enlarged cerebral cortex, which resembles the early brain outgrowth observed in many autistic children, as well as migration defects of cortical projection neurons (Orosco et al., 2014).",18,0,,0,,22542183,,"25198012,26401017,27008544,31327001","25363760,25363768,26402605,27525107,27824329,27862604,28263302,28554332,30054502,30564305,31031587,31398340,31452935"
WDFY4,WDFY family member 4,57705,C10orf64,10,10q11.23,Q6ZS81,613316,,Rare single gene variant,"De novo missense variants in the WDFY4 gene have been identified in four probands with ASD (Iossifov et al., 2014; Yuen et al., 2016; Yuen et al., 2017) and one proband with an unspecified developmental disorder (Deciphering Developmental Disorders Study 2017).  An integrated meta-analysis of de novo mutation data from a combined dataset of 10,927 individuals with neurodevelopmental disorders identified WDFY4 as a gene with an excess of missense variants (false discovery rata < 5%, count >1); WDFY4 was similarly identified as a gene with an excess of de novo missense variants (false discovery rata < 5%, count >1) following analysis of 5,624 cases with a primary diagnosis of ASD (Coe et al., 2018).",7,0,,0,,25363768,,30559488,"27525107,28135719,28263302,31398340,32530565"
WDR26,WD repeat domain 26,80232,"CDW2, GID7, MIP2",1,1q42.11-q42.12,Q9H7D7,617424,"This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. The protein encoded by this gene may be involved in MAPK pathways.",Rare single gene variant,"De novo loss-of-function or missense variants in the WDR26 gene were identified in 15 individuals, all of whom presented with developmental delay/intellectual disability, seizures, gait abnormalities, and distinctive facial features; 5/9 individuals additionally presented with autistic and/or repetitive behaviors or posturing (Skraban et al., 2017). An ASD proband from the Simons Simplex Collection had previously been identified with a novel de novo WDR26 missense variant that was predicted to be damaging (Iossifov et al., 2014).",5,0,,0,,28686853,,,"25363768,29346770,30945278,31674007"
WDR93,WD repeat domain 93,56964,,15,15q26.1,Q6P2C0,,"GO annotations related to this gene include oxidoreductase activity, acting on NAD(P)H.",Rare single gene variant,"A homozygous missense variant in the WDR93 gene was found to segregate with ASD in a consanguineous multiplex family (Alazami et al., 2015).",2,0,,0,,25558065,,,31398340
WNK3,WNK lysine deficient protein kinase 3,65267,PRKWNK3; FLJ30437; FLJ42662; KIAA1566; WNK3,X,Xp11.22,Q9BYP7,300358,The encoed protein belongs to the family of serine-threonine kinases that functions as modulator of diverse ion transport pathways.,Rare Single Gene variant,"Studies have found rare mutations in the WNK3 gene that are associated with autism (Piton et al., 2011; Qiao et al., 2008).",6,0,,0,,20479760,16275911,"18550832,19932740,2302792",18498374
WNT1,"Wingless-type MMTV integration site family, member 1",7471,"BMND16, INT1, OI15",12,12q13.12,P04628,164820,"This gene is a member of the WNT gene family, which consists of structurally related genes which encode secreted signaling proteins involved in multiple developmental processes. Studies in mouse indicate that the Wnt1 protein plays a role in CNS development and functions in the induction of the mesencephalon and cerebellum.",Genetic association,"A missense variant in the WNT1 gene (p.Ser88Arg) that results in increased activity was found to be overrepresented in a combined sample of ASD cases compared to controls [8 A/T in 267 ASD (minor allele frequency (MAF)=1.69%) vs 1 A/T in 377 controls (MAF=0.13%), OR=13.0, Fisher's exact test, P=0.0048] (Martin et al., 2013). Prenatal valproate exposure in rats, which is used as an induced animal model of ASD, increases WNT1 expression (Wang et al., 2010; Go et al., 2012).",3,0,,0,,24002087,,"20734317,22841957",
WNT2,wingless-type MMTV integration site family member 2,7472,"IRP, INT1L1",7,7q31.2,P09544,147870,The encoded protein is a constituent of the extracellular matrix and plays a rol e in signal transduction.,Genetic Association,"Studies have found rare variants and genetic association of the WNT2 gene with autism in CLSA and Japanese population cohorts and with age of first phrase in a Chinese Han autism cohort (Lin et al., 2012). However, other studies have found no genetic association of WNT2 with autism in separate US population cohorts.",10,3,"19895723,22522212,28081867",3,"11840514,15048648,21575668",11449391,8951051,"16554359,16621466",
WWOX,WW domain containing oxidoreductase,51741,"D16S432E, EIEE28, FOR, FRA16D, HHCMA56, PRO0128, SCAR12, SDR41C1, WOX1",16,16,Q9NZC7,605131,"This gene encodes a member of the short-chain dehydrogenases/reductases (SDR) protein family. This gene spans the FRA16D common chromosomal fragile site and appears to function as a tumor suppressor gene. Expression of the encoded protein is able to induce apoptosis, while defects in this gene are associated with multiple types of cancer. Biallelic variants in the WWOX gene are responsible for early infantile epileptic encephalopathy-28 (EIEE28; OMIM 616211) and autosomal recessive spinocerebellar ataxia-12 (SCAR12; OMIM 614322).",Rare single gene variant,"Analysis of combined CNV data from the Autism Genetic Resource Exchange (AGRE) and the Simons Simplex Collection (SSC) in Leppa et al., 2016 found that CNVs overlapping the WWOX gene were identified in affected children in 12 of 3,565 families (0.34%) but in only one unaffected sibling out of 2,633 families (0.04%, p=0.01, OR=8.8, Fisher's exact test). In contrast, the overall frequency of >100 kb CNVs overlapping WWOX in the Database of Genomic Variants (DGV) was 26/27,263 (0.10%), and the combined association test for all datasets was nominally significant (p=0.0148, OR=2.6).",9,0,,0,,27569545,,,"19500159,24369382,24456803,25411445,27667684,27848944,29286531,31398340"
WWP1,WW domain containing E3 ubiquitin protein ligase 1,11059,"AIP5, Tiul1, hSDRP1",8,8q21.3,Q9H0M0,602307,"WW domain-containing proteins are found in all eukaryotes and play an important role in the regulation of a wide variety of cellular functions such as protein degradation, transcription, and RNA splicing. This gene encodes a protein which contains 4 tandem WW domains and a HECT (homologous to the E6-associated protein carboxyl terminus) domain. The encoded protein belongs to a family of NEDD4-like proteins, which are E3 ubiquitin-ligase molecules and regulate key trafficking decisions, including targeting of proteins to proteosomes or lysosomes.",Rare single gene variant,"Whole-exome sequencing of 198 unrelated individuals with ASD/ID in Novelli et al., 2020 identified eight different heterozygous germline mutations (including one that was recurrent in three unrelated patients) in the WWP1 gene in 10 ASD probands; variants in WWP1 were subsequently shown to be preferentially enriched in ASD/ID probands compared to European populations in gnomAD (p < 0.00001; OR = 30.6 (95% CI 16.27-57.59)) and a cohort of 1158 individuals from the Italian general population (p < 0.00001; OR = 19.93 (95% CI 5.47-72.90)).  Two of the missense variants identified in ASD probands in Novelli et al., 2020 (p.Arg86His and p.Asn745Ser) had previously been shown in Lee et al., 2020 to induce increased PTEN polyubiquitination compared to wild-type WWP1, consistent with a gain-of-function effect.",2,0,,0,,32699206,,,32459922
XIRP1,xin actin-binding repeat containing 1,165904,"CMYA1, Xin",3,3p22.2,Q702N8,609777,Protects actin filaments from depolymerization,Rare Single Gene variant,"A rare de novo missense mutation in the XIRP1 gene has been identified in a proband with autism (O'Roak et al., 2011). Many missense changes were also found in control individuals.",8,0,,0,,21572417,16631741,19843512,"25533962,25558065,25961944,29346770,31398340"
XPC,"xeroderma pigmentosum, complementation group C",7508,"XP3, XPCC",3,3p25.1,Q01831,278720,This gene encodes a component of the nucleotide excision repair (NER) pathway. It acts as a damage-sensing and DNA-binding factor component of the XPC complex.,Rare Single Gene variant,"Rare mutations in the XPC gene have been identified with autism (Khan et al., 1998). In addition, XPC mutations have been found to be identified with xeroderma pigmentosum (syndromic with autism), where a subpopulation of individuals with XP develop autism.",11,0,,0,,9804340,"10604143,15882621,15964983,16860562","7675084,8756644,9372924","26174448,31398340,31452935"
XPO1,exportin 1,7514,"CRM-1, CRM1, emb, exp1",2,2p15,O14980,602559,"The protein encoded by this gene mediates leucine-rich nuclear export signal (NES)-dependent protein transport. Exportin 1 specifically inhibits the nuclear export of Rev and U snRNAs. It is involved in the control of several cellular processes by controlling the localization of cyclin B, MPAK, and MAPKAP kinase 2. This protein also regulates NFAT and AP-1.",Genetic association,"In XPO1, rs6735330 was associated with autism in all four cohorts (P<0.05), being significant in ASD-CARC cohorts (P-value following false discovery rate correction for multiple testing (P(FDR))=1.29 x 10(-5)), the AGRE cohort (P(FDR)=0.0011) and the combined families (P(FDR)=2.34 x 10(-9)). These results indicate that deletion 2p15-p16.1 is not commonly associated with idiopathic ASD, but represents a novel contiguous gene syndrome associated with a constellation of phenotypic features (autism, intellectual disability, craniofacial/CNS dysmorphology), and that XPO1 may contribute to ASD in 2p15-p16.1 deletion cases and non-deletion cases of ASD mapping to this chromosome region.",7,0,,0,,21750575,,,"24911659,27699255,28573701,28714951,31452935,32008040"
